iter	Passed	Remaining
0	135	135689
1	136	68028
2	136	45471
3	137	34190
4	137	27418
5	138	22903
6	138	19680
7	139	17262
8	139	15378
9	140	13870
10	140	12639
11	141	11617
12	141	10749
13	142	10006
14	142	9358
15	142	8793
16	143	8296
17	143	7854
18	144	7457
19	144	7101
20	145	6778
21	145	6485
22	146	6217
23	146	5971
24	147	5745
25	147	5540
26	148	5348
27	148	5172
28	149	5008
29	150	4855
30	150	4709
31	151	4573
32	151	4445
33	152	4324
34	152	4209
35	153	4101
36	153	4000
37	154	3904
38	154	3813
39	155	3725
40	155	3642
41	156	3563
42	156	3486
43	157	3414
44	157	3345
45	158	3280
46	158	3218
47	159	3157
48	159	3099
49	160	3043
50	160	2990
51	161	2939
52	161	2888
53	162	2842
54	162	2797
55	163	2752
56	163	2709
57	164	2668
58	164	2628
59	165	2589
60	165	2552
61	166	2516
62	166	2481
63	167	2446
64	167	2413
65	168	2381
66	168	2350
67	169	2318
68	169	2289
69	170	2260
70	170	2232
71	171	2205
72	171	2178
73	172	2152
74	172	2127
75	173	2103
76	173	2080
77	174	2057
78	174	2034
79	174	2012
80	175	1990
81	175	1969
82	176	1950
83	177	1931
84	177	1910
85	178	1892
86	178	1871
87	178	1853
88	179	1835
89	179	1818
90	180	1800
91	180	1785
92	181	1768
93	181	1752
94	182	1736
95	182	1720
96	183	1705
97	183	1691
98	184	1676
99	184	1663
100	185	1649
101	185	1634
102	186	1620
103	186	1607
104	187	1594
105	187	1581
106	188	1570
107	188	1559
108	189	1546
109	189	1535
110	190	1523
111	190	1512
112	191	1502
113	192	1492
114	192	1482
115	192	1470
116	193	1460
117	193	1449
118	194	1438
119	194	1428
120	195	1418
121	195	1408
122	196	1398
123	196	1388
124	197	1379
125	197	1370
126	198	1361
127	198	1351
128	198	1342
129	199	1333
130	199	1326
131	200	1317
132	200	1309
133	201	1301
134	201	1293
135	202	1285
136	202	1278
137	203	1270
138	204	1264
139	204	1257
140	205	1250
141	205	1243
142	206	1235
143	206	1228
144	207	1222
145	207	1215
146	208	1209
147	208	1202
148	209	1195
149	209	1189
150	210	1182
151	210	1176
152	211	1170
153	211	1163
154	212	1157
155	212	1151
156	213	1144
157	213	1138
158	214	1133
159	214	1127
160	215	1122
161	215	1116
162	216	1110
163	216	1104
164	217	1099
165	217	1093
166	218	1088
167	218	1083
168	219	1078
169	219	1073
170	220	1068
171	220	1063
172	221	1057
173	221	1052
174	222	1048
175	222	1043
176	223	1038
177	223	1033
178	224	1028
179	224	1023
180	225	1018
181	225	1013
182	226	1009
183	226	1004
184	227	1000
185	227	995
186	228	991
187	228	987
188	228	982
189	229	978
190	229	974
191	230	970
192	230	965
193	231	961
194	231	957
195	232	953
196	232	949
197	233	945
198	234	942
199	234	938
200	234	934
201	235	930
202	235	926
203	236	922
204	236	918
205	237	915
206	237	911
207	238	907
208	238	903
209	239	900
210	239	896
211	240	893
212	240	889
213	241	886
214	241	882
215	242	879
216	242	875
217	243	872
218	243	868
219	244	865
220	244	862
221	245	858
222	245	855
223	245	852
224	246	848
225	247	846
226	247	843
227	248	840
228	248	837
229	249	834
230	249	831
231	250	828
232	250	825
233	251	822
234	251	819
235	252	816
236	252	813
237	253	810
238	253	807
239	253	804
240	254	801
241	254	798
242	255	795
243	255	792
244	256	789
245	256	786
246	257	784
247	257	781
248	258	778
249	258	776
250	259	773
251	259	770
252	260	767
253	260	765
254	261	762
255	261	760
256	262	757
257	262	755
258	263	752
259	263	750
260	264	747
261	264	745
262	265	742
263	265	740
264	266	737
265	266	735
266	267	733
267	267	730
268	268	728
269	268	725
270	268	723
271	269	721
272	269	718
273	270	716
274	270	713
275	271	711
276	271	709
277	272	707
278	272	704
279	273	702
280	273	700
281	274	698
282	274	696
283	275	694
284	275	691
285	276	689
286	276	687
287	277	685
288	277	683
289	278	681
290	278	679
291	279	677
292	279	675
293	280	673
294	280	670
295	281	668
296	281	666
297	282	664
298	282	662
299	283	660
300	283	658
301	284	656
302	284	654
303	285	652
304	285	650
305	286	649
306	286	647
307	287	645
308	287	643
309	288	641
310	288	639
311	289	637
312	289	635
313	290	633
314	290	631
315	291	630
316	291	628
317	292	626
318	292	624
319	293	622
320	293	620
321	294	619
322	294	617
323	294	615
324	295	613
325	295	611
326	296	610
327	296	608
328	297	606
329	298	605
330	298	603
331	299	601
332	299	599
333	299	598
334	300	596
335	300	594
336	301	593
337	302	591
338	302	589
339	303	588
340	303	586
341	304	585
342	304	583
343	305	582
344	305	580
345	306	579
346	307	577
347	307	576
348	307	574
349	308	572
350	308	571
351	309	569
352	309	567
353	310	566
354	310	564
355	311	562
356	311	561
357	312	559
358	312	558
359	313	556
360	313	554
361	313	553
362	314	551
363	314	550
364	315	548
365	315	547
366	316	545
367	317	544
368	317	543
369	318	541
370	318	540
371	319	538
372	319	537
373	320	536
374	320	534
375	321	533
376	321	531
377	322	530
378	322	528
379	323	527
380	323	526
381	324	524
382	324	523
383	325	521
384	325	520
385	326	518
386	326	517
387	327	516
388	327	515
389	328	513
390	328	512
391	329	510
392	329	509
393	330	508
394	331	507
395	331	505
396	332	504
397	332	503
398	333	501
399	333	500
400	334	498
401	334	497
402	335	496
403	335	495
404	336	493
405	336	492
406	337	491
407	337	489
408	338	488
409	338	487
410	339	485
411	339	484
412	340	483
413	340	482
414	341	480
415	341	479
416	341	478
417	342	476
418	342	475
419	343	474
420	344	473
421	344	472
422	345	470
423	345	469
424	346	468
425	346	467
426	347	466
427	347	465
428	348	463
429	348	462
430	349	461
431	349	459
432	350	458
433	350	457
434	351	456
435	351	455
436	352	453
437	352	452
438	353	451
439	353	450
440	354	449
441	354	447
442	355	446
443	355	445
444	356	444
445	356	443
446	357	441
447	357	440
448	358	439
449	358	438
450	359	437
451	359	436
452	360	435
453	360	434
454	361	433
455	362	431
456	362	430
457	362	429
458	363	428
459	363	427
460	364	426
461	364	424
462	365	423
463	365	422
464	366	421
465	366	420
466	367	419
467	367	418
468	368	417
469	368	415
470	369	414
471	369	413
472	370	412
473	370	411
474	371	410
475	371	409
476	372	408
477	372	407
478	373	406
479	374	405
480	374	404
481	375	403
482	375	402
483	376	401
484	376	400
485	377	399
486	377	397
487	378	396
488	378	395
489	379	394
490	379	393
491	380	392
492	380	391
493	381	390
494	381	389
495	382	388
496	382	387
497	383	386
498	383	384
499	383	383
500	384	382
501	384	381
502	385	380
